Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Alibaba Shipping Costs,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Forwarder's Fee,Lalamove,Packaging Cost,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00187,,,,,,031325,,Paid,Premium Shortsleeves Onesie,,1m-24m,pc,$0.63,5635,42.54,₱61.00,,,,,"₱15,509.99","₱2,215.71","₱2,215.71",₱54.00,₱61.00,,,,,,
KPC 23930A-00194,,,,,,031325,,Paid,Premium Longsleeves Onesie,,1m-18m,pc,$0.73,663,7.56,₱61.00,,,,,"₱1,559.44","₱1,181.40","₱1,181.40",₱65.00,₱70.00,,,,,,
KPC 23930A-00194,,,,,,031325,,Paid,Premium Onesie Dress,,0-24m,pc,$1.80,740,8.44,₱61.00,,,,,"₱1,740.56","₱1,318.60","₱1,318.60",₱147.00,₱145.00,,,,,,
KPC 23930A-00189,,,,,,031425,,Paid,Premium Mixed Brands Onesies,,0-18m,pc,$0.79,2100,0.00,₱60.00,,,,,"₱4,000.00","₱1,500.00","₱1,500.00",₱64.00,₱68.00,,,,,,
KPC 23930A-00190,,,,,,031725,,Paid,Regular Mixed Brands Onesies,,0-18m,pc,$0.69,700,0.00,₱58.30,,,,,₱700.00,₱500.00,₱500.00,₱54.00,₱47.00,,,,,,
KPC 23930A-00189,,,,,,032025,,Paid,Organic Shortsleeves Onesies,,0-12m,pc,$1.13,960,0.00,₱60.00,,,,,"₱2,300.00","₱1,000.00","₱1,000.00",₱91.00,₱86.00,,,,,,
KPC 23930A-00189,,,,,,032025,"September 29, 2025",Paid,Organic Longsleeves Onesies,,0-12m,pc,$1.13,340,0.00,₱60.00,,,,,"₱1,000.00","₱1,000.00","₱1,000.00",₱96.00,₱89.00,,,,,,
KPC 23930A-00191,,,,,,033125,,Paid,Nautica Romper,,0-18m,pc,$1.72,588,6.82,₱60.00,,,,,"₱1,824.84",₱426.37,₱426.37,₱137.00,₱144.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Milkberry Onesie + Socks,,6-9m,set,$0.96,31,0.18,₱60.00,,,,,₱48.10,₱11.24,₱11.24,₱76.00,₱85.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Milkberry Headband,,0-24m,pc,$0.24,151,0.44,₱60.00,,,,,₱117.16,₱27.37,₱27.37,₱20.00,₱20.00,,,,,,
KPC 23930A-00191,,,,,,040125,,Paid,Little Me Romper,,3-6m,pc,$1.26,62,1.08,₱60.00,,,,,₱288.62,₱67.44,₱67.44,₱105.00,₱115.00,,,,,,
KPC 23930A-00191,,,,,,,,Paid,Romper,,3-24m,pc,$1.26,100,1.74,₱60.00,,,,,₱465.52,₱108.77,₱108.77,₱105.00,₱105.00,,,,,,
KPC 23930A-00191,,,,,,041025,,Paid,Jumper Set,,3m-12m,set,$1.65,56,0.97,₱60.00,,,,,₱260.69,₱60.91,₱60.91,₱135.00,₱155.00,,,,,,
KPC 23930A-00191,,,,,,040525,,Paid,H&M Shorts,,2T-10T,pc,$0.64,249,1.44,₱60.00,,,,,₱386.38,₱90.28,₱90.28,₱52.00,₱55.00,,,,,,
KPC 23930A-00191,,,,,,040125,,Paid,Kit Pearl Onesie,,0-24m,pc,$0.76,30,0.17,₱60.00,,,,,₱46.55,₱10.88,₱10.88,₱61.00,₱67.00,,,,,,
KPC 23930A-00191,,,,,,041025,,Paid,Dress,,2T-5T,pc,$1.92,30,0.35,₱60.00,,,,,₱93.10,₱21.75,₱21.75,₱152.00,₱159.00,,,,,,
KPC 23930A-00191,,,,,,040125,,Paid,Disney Frogsuit,,0-24m,pc,$1.30,147,1.71,₱60.00,,,,,₱456.21,₱106.59,₱106.59,₱105.00,₱110.00,,,,,,
KPC 23930A-00191,,,,,,040725,,Paid,Romper,,0-24m,pc,$1.33,1380,16.01,₱60.00,,,,,"₱4,282.79","₱1,000.65","₱1,000.65",₱107.00,₱110.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Milkberry 3-PC Dress,,0-9m,set,$2.46,36,0.84,₱60.00,,,,,₱223.45,₱52.21,₱52.21,₱199.00,₱225.00,,,,,,
KPC 23930A-00191,,,,,,041425,,Paid,Kids Romper,,3T-16T,pc,$1.37,221,2.56,₱60.00,,,,,₱685.87,₱160.25,₱160.25,₱110.00,₱110.00,,,,,,
KPC 23930A-00191,,,,,,041325,,Paid,Hooded Towel,,0--6m,pc,$1.17,94,1.09,₱60.00,,,,,₱291.73,₱68.16,₱68.16,₱95.00,₱95.00,,,,,,
KPC 23930A-00191,,,,,,041425,,Paid,Non-Footed Frogsuit,,0-9m,pc,$1.30,87,1.01,₱60.00,,,,,₱270.00,₱63.08,₱63.08,₱105.00,₱110.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Tops,,0-3T,pc,$0.82,119,1.38,₱60.00,,,,,₱369.31,₱86.29,₱86.29,₱69.00,₱85.00,,,,,,
KPC 23930A-00191,,,,,,032525,,Paid,Dress With Hanger,,2T-6X,pc,$2.06,60,1.04,₱60.00,,,,,279.31,65.26,65.26,₱165.00,₱185.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,4-PC Set,,0-12m,pc,$2.90,40,1.16,₱60.00,,,,,310.35,72.51,72.51,₱235.00,₱239.00,,,,,,
KPC 23930A-00202,,,,,,040625,,Paid,Bear Paw Snugfit,,12m-4T,set,$1.52,1300,25.55,₱60.00,,,,,"₱7,928.98","₱1,101.25","₱1,101.25",₱126.00,₱139.00,,,,,,
KPC 23930A-00195,,,,,,041125,,Paid,Dymples Longsleeves Onesie,,0-24m,pc,$0.76,2576,27.39,₱60.00,,,,,"7,953.34","1,104.63","1,104.63",₱63.00,₱69.00,,,,,,
KPC 23930A-00195,,,,,,041125,,Paid,Dymples Sleeveless Onesie,,0-24m,pc,$0.68,3443,24.41,₱60.00,,,,,"7,086.79",984.28,984.28,₱56.00,₱64.00,,,,,,
KPC 23930A-00195,,,,,,041125,,Paid,Baby Berry Tops,,6m-24m,pc,$0.70,444,6.30,₱60.00,,,,,"1,827.79",253.86,253.86,₱61.00,₱69.00,,,,,,
KPC 23930A-00195,,,,,,041125,,Paid,Disney Longsleeves Tops,,0-24m,pc,$0.76,275,3.90,₱60.00,,,,,"1,132.08",157.23,157.23,₱65.00,₱65.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Dymples Shortsleeve Onesie,,0-24M,pc,$0.68,5401,35.74,₱60.00,,,,,"₱13,403.83","₱1,861.64","₱1,861.64",₱56.00,₱64.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Dymples Sleeveless Tops,,0-24M,pc,$0.59,1343,8.89,₱60.00,,,,,"₱3,332.97",₱462.91,₱462.91,₱49.00,₱64.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Dymples Footed Pants,,0-12m,pc,$0.56,244,1.61,₱60.00,,,,,₱605.54,₱84.10,₱84.10,₱47.00,₱58.00,,,,,,
KPC 23930A-00196,,,,,,041125,,Paid,Baby Berry/Dymples Shorts,,3m-24m,pc,$0.58,265,1.75,₱60.00,,,,,₱657.66,₱91.34,₱91.34,₱49.00,₱65.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Romper,,0-18m,pc,$1.10,397,5.62,₱60.00,,,,,"₱1,744.95",₱242.35,₱242.35,₱91.00,₱119.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Longsleeves Onesie,,0-24m,pc,$0.76,2316,24.60,₱60.00,,,,,"₱7,634.70","₱1,060.37","₱1,060.37",₱64.00,₱58.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Shortsleeves Onesie,,0-24m,pc,$0.68,2195,15.54,₱60.00,,,,,"₱4,823.88",₱669.98,₱669.98,₱56.00,₱58.00,,,,,,
KPC 23930A-00198,,,,,,041125,,Paid,Baby Berry Frogsuit,,0-18m`,pc,$1.52,691,12.23,₱60.00,,,,,"₱3,796.47",₱527.29,₱527.29,₱125.00,₱119.00,,,,,,
KPC 23930A-00197,,,,,,041225,,Paid,Btween Hair Accessory,,Onesie,pc,$0.10,5000,0.00,₱60.00,,,,,"₱1,500.00","₱1,500.00","₱1,500.00",₱9.00,₱9.00,,,,,,
KPC 23930A-00185,,,,,,041425,,Paid,Romper With Hanger,,0-24,set,$1.13,394,0.00,₱60.00,,,,,"₱1,500.00",₱100.00,₱100.00,₱91.00,₱89.00,,,,,,
KPC 23930A-00192,,,,,,042325,,Paid,Mixed Set,,0-24m,set,$1.98,515,0.00,₱60.00,,,,,"₱3,825.00",₱714.00,₱714.00,₱162.00,₱180.00,,,,,,
KPC 23930A-00188,,,,,,042325,,Paid,Bonnets,,0-24m,pc,$0.20,1000,0.00,₱60.00,,,,,₱800.00,₱300.00,₱300.00,₱17.00,₱18.00,,,,,,
KPC 23930A-00188,,,,,,042325,,Paid,Bibs,,Onesie,pc,$0.20,1000,0.00,₱60.00,,,,,₱800.00,₱300.00,₱300.00,₱17.00,₱19.00,,,,,,
KPC 23930A-00188,,,,,,042425,,Paid,Romper,,0-24m,pc,$1.07,500,0.00,₱60.00,,,,,"₱1,625.00",₱300.00,₱300.00,₱87.00,₱89.00,,,,,,
,,,,,,042525,,Paid,Bibs Batch 2,,0-24,pc,$0.20,1000,0.00,₱60.00,,,,,₱750.00,₱500.00,₱500.00,₱18.00,₱19.00,,,,,,
,,,,,,042525,,Paid,Romper Batch 3,,0-24m,pc,$1.07,500,0.00,₱60.00,,,,,₱750.00,₱500.00,₱500.00,₱85.00,₱89.00,,,,,,
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear Dress 2-PC Set,,12-24m,set,$3.85,72,0.00,₱58.00,,,,,₱500.00,₱250.00,₱250.00,₱298.00,₱252.00,,,,,,
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear 3-PC Girl Set,,12-24m,set,$3.85,48,0.00,₱58.00,,,,,₱500.00,₱200.00,₱200.00,₱304.00,₱252.00,,,,,,
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear 3-PC Boy Set,,12-24m,set,$3.85,36,0.00,₱58.00,,,,,₱300.00,₱200.00,₱200.00,₱305.00,₱252.00,,,,,,
KPC 23930A-00199,,,,,,051425,,Paid,Sleeveless Onesie,,0-24m,pc,$0.64,665,0.00,₱58.00,,,,,"₱1,500.00","₱1,000.00","₱1,000.00",₱54.00,₱59.00,,,,,,
,,,,,,051725,,,Rabbit+Bear,,,,,,,,,,,,,,,,,,,,,,
,,,,,,052325,,Paid,Baby Berry 2 PC set,,0-24m,set,$1.80,648,12.74,₱60.00,,,,,"₱3,952.29",₱548.93,₱548.93,₱147.00,₱155.00,,,,,,
KPC 23930A-00202,,,,,,053125,,Paid,Milkberry Pants,,12m-5T,pc,$0.62,142,1.67,₱60.00,,,,,₱519.65,₱72.17,₱72.17,₱54.00,₱59.00,,,,,,
KPC 23930A-00202,,,,,,053125,,Paid,Milkberry Shorts,,12m-5T,pc,$0.55,290,2.28,₱60.00,,,,,₱707.51,₱98.27,₱98.27,₱46.00,₱49.00,,,,,,
KPC 23930A-00202,,,,,,052325,,Paid,Banboo Cotton Tops,,12m-5T,pc,$0.69,420,3.30,₱60.00,,,,,"₱1,024.67",₱142.31,₱142.31,₱57.00,₱57.00,,,,,,
KPC 23930A-00202,,,,,,052325,,Paid,Milkberry 2-PC Top And Short Set,,12m-5T,pc,$1.94,634,12.46,₱60.00,,,,,"₱3,866.90",₱537.07,₱537.07,₱158.00,₱168.00,,,,,,
KPC 23930A-00203,,,,,,052325,,Paid,Milkberry 2-PC Set,,12m-5T,set,$1.94,395,9.39,₱60.00,,,,,"₱2,971.13",₱479.21,₱479.21,₱161.00,₱165.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Baby Sweatshirt,,0-24m,pc,$1.09,218,1.73,₱60.00,,,,,₱546.59,₱88.16,₱88.16,₱87.00,₱99.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Baby Tops,,0-3T,pc,$0.83,13,0.10,₱60.00,,,,,₱32.59,₱5.26,₱5.26,₱68.00,₱75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Pants,,0-18m,pc,$0.76,35,0.28,₱60.00,,,,,₱87.75,₱14.15,₱14.15,₱62.00,₱75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Jogger,,0-24m,pc,$0.83,96,0.76,₱60.00,,,,,₱240.70,₱38.82,₱38.82,₱68.00,₱75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Shorts,,0-24m,pc,$0.76,447,3.54,₱60.00,,,,,"₱1,120.75",₱180.77,₱180.77,₱62.00,₱69.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Mixed Tops,,0-3T,pc,$0.97,93,0.74,₱60.00,,,,,₱233.18,₱37.61,₱37.61,₱78.00,₱78.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On & Milky Romper,,0-9m,pc,$1.40,30,0.36,₱60.00,,,,,₱112.83,₱18.20,₱18.20,₱113.00,₱125.00,,,,,,
,,,,,,060725,,Paid,Billieblush Poncho Towel,,1T-2T,pc,$0.69,11,0.13,₱60.00,,,,,₱41.37,₱6.67,₱6.67,₱59.00,₱85.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Billieblush Romper,,12m-4T,pc,$1.24,14,0.17,₱60.00,,,,,₱52.65,₱8.49,₱8.49,₱101.00,₱105.00,,,,,,
KPC 23930A-00203,,,,,,060225,,Paid,Dymples Onesie Dress,,0-24m,pc,$1.86,514,4.07,₱60.00,,,,,"₱1,288.74",₱207.86,₱207.86,₱145.00,₱147.00,,,,,,
KPC 23930A-00203,,,,,,071025,,Paid,Yamp Zippered Romper,,0-9m,pc,$1.50,37,0.44,₱60.00,,,,,₱139.15,₱22.44,₱22.44,₱121.00,₱99.00,,,,,,
KPC 23930A-00203,,,,,,061225,,Paid,Onesie 3-PC Set,,0-9m,set,$2.19,376,11.92,₱60.00,,,,,"₱3,770.95",₱608.22,₱608.22,₱184.00,₱180.00,,,,,,
KPC 23930A-00203,,,,,,060225,,Paid,Ruffled Onesie,,0-9m,pc,$0.69,99,0.78,₱60.00,,,,,₱248.22,₱40.04,₱40.04,₱57.00,₱59.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Ruffled Frogsuit,,0-9m,pc,$1.64,120,1.90,₱60.00,,,,,₱601.75,₱97.06,₱97.06,₱133.00,₱139.00,,,,,,
